ID,Severidad,Módulo,Mensaje,Detalles,Timestamp
COMP-004,CRITICAL,compliance,CIS 2.1 - Cloud Trace Service no configurado,{},2025-07-04T17:10:57.109747
IAM-002,HIGH,iam,Usuario sin MFA habilitado: Christian Vazquez,"{""user_id"": ""7621b455711f48daa3d404bba883f1fe"", ""user_name"": ""Christian Vazquez"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-04T17:10:20.856670
IAM-002,HIGH,iam,Usuario sin MFA habilitado: ConectorCloud,"{""user_id"": ""2d5502377631460c9601244670a8aa1c"", ""user_name"": ""ConectorCloud"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-04T17:10:22.003218
IAM-002,HIGH,iam,Usuario sin MFA habilitado: dcabral,"{""user_id"": ""cd50c85ce40f42edb375edba41193bb0"", ""user_name"": ""dcabral"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-04T17:10:23.155380
IAM-002,HIGH,iam,Usuario sin MFA habilitado: diegogarone,"{""user_id"": ""08450e873d00f5051fefc01364c4b18b"", ""user_name"": ""diegogarone"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-04T17:10:24.294392
IAM-002,HIGH,iam,Usuario sin MFA habilitado: Florencia Pavon,"{""user_id"": ""e84771c7285a47939e6895479962ddd0"", ""user_name"": ""Florencia Pavon"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-04T17:10:26.469183
IAM-002,HIGH,iam,Usuario sin MFA habilitado: globo,"{""user_id"": ""5ade0315e9ba4045b063df938541c286"", ""user_name"": ""globo"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-04T17:10:27.619397
IAM-002,HIGH,iam,Usuario sin MFA habilitado: Julian Vazzano,"{""user_id"": ""0563f1d7034343cfa595eeb58b633b99"", ""user_name"": ""Julian Vazzano"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-04T17:10:28.633727
IAM-002,HIGH,iam,Usuario sin MFA habilitado: Nicolas Alcorta,"{""user_id"": ""7b342f3b84144b048b37ade414729bf7"", ""user_name"": ""Nicolas Alcorta"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-04T17:10:29.778700
IAM-002,HIGH,iam,Usuario sin MFA habilitado: prueba.iis,"{""user_id"": ""220c0d60592f4f24bf773beee71891ad"", ""user_name"": ""prueba.iis"", ""mfa_check_details"": {""enabled"": false, ""device_count"": 0, ""methods"": [], ""details"": {""virtual_mfa"": false, ""sms_mfa"": false, ""email_mfa"": false, ""hardware_token"": false}, ""raw_responses"": {}}}",2025-07-04T17:10:31.806456
